school,logo,type,color,alt_color
Western Ore.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/western-ore.svg,DII,NA,NA
Wheeling,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wheeling-jesuit.svg,DII,NA,NA
William Jewell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/william-jewell.svg,DII,#ffffff,#ffffff
Wingate,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wingate.svg,DII,#000000,#ffffff
Winona St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/winona-st.svg,DII,NA,NA
Winston-Salem,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/winston-salem.svg,DII,#bb0100,#ffffff
Adrian,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Adrian.jpg,DIII,#000000,#ffffff
Albion,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Albion.jpg,DIII,#000000,#ffffff
Albright,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Albright.jpg,DIII,#000000,#ffffff
Alfred State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Alfred%20State.jpg,DIII,NA,NA
Alfred,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Alfred.jpg,DIII,#000000,#ffffff
Allegheny,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Allegheny.jpg,DIII,#000000,#ffffff
Alma,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Alma.jpg,DIII,#ffffff,#ffffff
Alvernia,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Alvernia.jpg,DIII,NA,NA
Amherst,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Amherst.jpg,DIII,NA,NA
Anderson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Anderson.jpg,DIII,#ffffff,#ffffff
Anna Maria,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Anna%20Maria.jpg,DIII,NA,NA
Augsburg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Augsburg.jpg,DIII,#000000,#ffffff
Augustana,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Augustana.jpg,DIII,NA,NA
Aurora,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Aurora.jpg,DIII,#000000,#ffffff
Austin,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Austin.jpg,DIII,#ffffff,#ffffff
Averett,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Averett.jpg,DIII,#000000,#ffffff
Baldwin Wallace,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Baldwin%20Wallace.jpg,DIII,NA,NA
Bates,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bates.jpg,DIII,NA,NA
Beloit,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Beloit.jpg,DIII,NA,NA
Benedictine,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Benedictine.jpg,DIII,NA,NA
Berry,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Berry.jpg,DIII,NA,NA
Bethany,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bethany.jpg,DIII,NA,NA
Bethel,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bethel.jpg,DIII,#ffffff,#ffffff
Birmingham-Southern,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Birmingham-Southern.jpg,DIII,#000000,#ffffff
Bluffton,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bluffton.jpg,DIII,#000000,#ffffff
Bowdoin,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bowdoin.jpg,DIII,#000000,#ffffff
Brevard,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Brevard.jpg,DIII,NA,NA
Bridgewater State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bridgewater%20State.jpg,DIII,#000000,#ffffff
Bridgewater,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Bridgewater.jpg,DIII,#ffffff,#ffffff
Brockport,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Brockport.jpg,DIII,NA,NA
Buena Vista,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Buena%20Vista.jpg,DIII,#000000,#ffffff
Buffalo State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Buffalo%20State.jpg,DIII,#000000,#ffffff
Cal Lutheran,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Cal%20Lutheran.jpg,DIII,#000000,#ffffff
Capital,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Capital.jpg,DIII,#000000,#ffffff
Carleton,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Carleton.jpg,DIII,#000000,#ffffff
Carnegie Mellon,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Carnegie%20Mellon.jpg,DIII,#000000,#ffffff
Carroll,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Carroll.jpg,DIII,NA,NA
Carthage,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Carthage.jpg,DIII,#000000,#ffffff
Case Western Reserve,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Case%20Western%20Reserve.jpg,DIII,#000000,#ffffff
Castleton,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Castleton.jpg,DIII,NA,NA
Catholic,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Catholic.jpg,DIII,#ffffff,#ffffff
Central,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Central.jpg,DIII,#000000,#ffffff
Centre,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Centre.jpg,DIII,#000000,#ffffff
Chapman,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Chapman.jpg,DIII,#000000,#ffffff
Chicago,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Chicago.jpg,DIII,#000000,#ffffff
Christopher Newport,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Christopher%20Newport.jpg,DIII,#000000,#ffffff
Claremont-Mudd-Scripps,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Claremont-Mudd-Scripps.jpg,DIII,#87212e,#e0ad12
Cortland,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Cortland.jpg,DIII,NA,NA
Crown,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Crown.jpg,DIII,NA,NA
Curry,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Curry.jpg,DIII,#000000,#ffffff
Dean,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Dean.jpg,DIII,NA,NA
Defiance,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Defiance.jpg,DIII,#000000,#ffffff
Delaware Valley,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Delaware%20Valley.jpg,DIII,#000000,#ffffff
Denison,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Denison.jpg,DIII,#000000,#ffffff
DePauw,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/DePauw.jpg,DIII,#000000,#ffffff
Dickinson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Dickinson.jpg,DIII,#000000,#ffffff
Dubuque,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Dubuque.jpg,DIII,#000000,#ffffff
East Texas Baptist,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/East%20Texas%20Baptist.jpg,DIII,#000000,#ffffff
Elmhurst,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Elmhurst.jpg,DIII,#000000,#ffffff
Emory and Henry,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Emory%20and%20Henry.jpg,DIII,NA,NA
Endicott,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Endicott.jpg,DIII,NA,NA
Eureka,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Eureka.jpg,DIII,#ffffff,#ffffff
FDU-Florham,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/FDU-Florham.jpg,DIII,#000000,#ffffff
Ferrum,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Ferrum.jpg,DIII,#000000,#ffffff
Finlandia,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Finlandia.jpg,DIII,NA,NA
Fitchburg State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Fitchburg%20State.jpg,DIII,#000000,#ffffff
Framingham State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Framingham%20State.jpg,DIII,#000000,#ffffff
Franklin and Marshall,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Franklin%20and%20Marshall.jpg,DIII,NA,NA
Franklin,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Franklin.jpg,DIII,#000000,#ffffff
Gallaudet,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Gallaudet.jpg,DIII,#000000,#ffffff
Geneva,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Geneva.jpg,DIII,#ffffff,#ffffff
George Fox,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/George%20Fox.jpg,DIII,NA,NA
Gettysburg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Gettysburg.jpg,DIII,#000000,#ffffff
Greensboro,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Greensboro.jpg,DIII,#000000,#ffffff
Greenville,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Greenville.jpg,DIII,#000000,#ffffff
Grinnell,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Grinnell.jpg,DIII,#000000,#ffffff
Grove City,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Grove%20City.jpg,DIII,#ffffff,#ffffff
Guilford,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Guilford.jpg,DIII,#000000,#ffffff
Gustavus Adolphus,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Gustavus%20Adolphus.jpg,DIII,#000000,#ffffff
Hamilton,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hamilton.jpg,DIII,#000000,#ffffff
Hamline,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hamline.jpg,DIII,#000000,#ffffff
Hampden-Sydney,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hampden-Sydney.jpg,DIII,#000000,#ffffff
Hanover,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hanover.jpg,DIII,#000000,#ffffff
Hardin-Simmons,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hardin-Simmons.jpg,DIII,#000000,#ffffff
Hartwick,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hartwick.jpg,DIII,#000000,#ffffff
Heidelberg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Heidelberg.jpg,DIII,#000000,#ffffff
Hendrix,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hendrix.jpg,DIII,NA,NA
Hiram,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hiram.jpg,DIII,#000000,#ffffff
Hobart,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hobart.jpg,DIII,#000000,#ffffff
Hope,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Hope.jpg,DIII,#000000,#ffffff
Howard Payne,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Howard%20Payne.jpg,DIII,#000000,#ffffff
Huntingdon,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Huntingdon.jpg,DIII,#000000,#ffffff
Husson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Husson.jpg,DIII,#000000,#ffffff
Illinois College,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Illinois%20College.jpg,DIII,#000000,#ffffff
Illinois Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Illinois%20Wesleyan.jpg,DIII,#000000,#ffffff
Iowa Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Iowa%20Wesleyan.jpg,DIII,#000000,#ffffff
Ithaca,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Ithaca.jpg,DIII,#000000,#ffffff
John Carroll,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/John%20Carroll.jpg,DIII,#000000,#ffffff
Johns Hopkins,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Johns%20Hopkins.jpg,DIII,#000000,#ffffff
Juniata,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Juniata.jpg,DIII,#000000,#ffffff
Kalamazoo,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Kalamazoo.jpg,DIII,#000000,#ffffff
Kean,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Kean.jpg,DIII,#000000,#ffffff
Kenyon,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Kenyon.jpg,DIII,#000000,#ffffff
Keystone,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Keystone.jpg,DIII,NA,NA
King's,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/King's.jpg,DIII,NA,NA
Knox,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Knox.jpg,DIII,NA,NA
La Verne,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/La%20Verne.jpg,DIII,#000000,#ffffff
Manchester,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Manchester.jpg,DIII,#000000,#ffffff
Marietta,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Marietta.jpg,DIII,#000000,#ffffff
Martin Luther,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Martin%20Luther.jpg,DIII,NA,NA
Mary Hardin-Baylor,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Mary%20Hardin-Baylor.jpg,DIII,#000000,#ffffff
Maryville (Tenn.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Maryville%20(Tenn.).jpg,DIII,NA,NA
Mass-Dartmouth,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Mass-Dartmouth.jpg,DIII,NA,NA
Massachusetts Maritime,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Massachusetts%20Maritime.jpg,DIII,NA,NA
McDaniel,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/McDaniel.jpg,DIII,#ffffff,#ffffff
McMurry,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/McMurry.jpg,DIII,#000000,#ffffff
Merchant Marine,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Merchant%20Marine.jpg,DIII,#000000,#ffffff
Methodist,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Methodist.jpg,DIII,#000000,#ffffff
Middlebury,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Middlebury.jpg,DIII,#000000,#ffffff
Millikin,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Millikin.jpg,DIII,#000000,#ffffff
Millsaps,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Millsaps.jpg,DIII,#000000,#ffffff
Minnesota-Morris,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Minnesota-Morris.jpg,DIII,#000000,#ffffff
Misericordia,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Misericordia.jpg,DIII,#000000,#ffffff
MIT,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/MIT.jpg,DIII,#000000,#ffffff
Monmouth,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Monmouth.jpg,DIII,#051844,#ffffff
Montclair State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Montclair%20State.jpg,DIII,#000000,#ffffff
Moravian,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Moravian.jpg,DIII,#000000,#ffffff
Morrisville State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Morrisville%20State.jpg,DIII,#000000,#ffffff
Mount St. Joseph,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Mount%20St.%20Joseph.jpg,DIII,#000000,#ffffff
Mount Union,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Mount%20Union.jpg,DIII,#000000,#ffffff
Muhlenberg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Muhlenberg.jpg,DIII,#000000,#ffffff
Muskingum,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Muskingum.jpg,DIII,#000000,#ffffff
N.C. Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/N.C.%20Wesleyan.jpg,DIII,NA,NA
Nebraska Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Nebraska%20Wesleyan.jpg,DIII,#ffffff,#ffffff
Nichols,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Nichols.jpg,DIII,#000000,#ffffff
North Central (Ill.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/North%20Central%20(Ill.).jpg,DIII,NA,NA
North Park,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/North%20Park.jpg,DIII,#000000,#ffffff
Northwestern (Minn.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Northwestern%20(Minn.).jpg,DIII,NA,NA
Norwich,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Norwich.jpg,DIII,#000000,#ffffff
Simpson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Simpson.jpg,DIII,NA,NA
Southern Virginia,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Southern%20Virginia.jpg,DIII,#000000,#ffffff
Southwestern,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Southwestern.jpg,DIII,NA,NA
Springfield,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Springfield.jpg,DIII,#000000,#ffffff
St. John Fisher,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20John%20Fisher.jpg,DIII,#000000,#ffffff
St. John's,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20John's.jpg,DIII,NA,NA
St. Lawrence,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Lawrence.jpg,DIII,#ffffff,#ffffff
St. Norbert,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Norbert.jpg,DIII,#000000,#ffffff
St. Olaf,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Olaf.jpg,DIII,#ffffff,#ffffff
St. Scholastica,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Scholastica.jpg,DIII,#000000,#ffffff
St. Thomas,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Thomas.jpg,DIII,#ffffff,#ffffff
St. Vincent,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Vincent.jpg,DIII,#000000,#ffffff
Stevenson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Stevenson.jpg,DIII,#000000,#ffffff
Sul Ross State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Sul%20Ross%20State.jpg,DIII,#000000,#ffffff
SUNY-Maritime,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/SUNY-Maritime.jpg,DIII,NA,NA
Susquehanna,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Susquehanna.jpg,DIII,#000000,#ffffff
TCNJ,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/TCNJ.jpg,DIII,NA,NA
Texas Lutheran,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Texas%20Lutheran.jpg,DIII,#000000,#ffffff
Thiel,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Thiel.jpg,DIII,#ffffff,#ffffff
Trine,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Trine.jpg,DIII,#000000,#ffffff
Trinity (Conn.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Trinity%20(Conn.).jpg,DIII,NA,NA
Trinity (Texas),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Trinity%20(Texas).jpg,DIII,#ffffff,#ffffff
Tufts,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Tufts.jpg,DIII,#000000,#ffffff
Union,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Union.jpg,DIII,#000000,#ffffff
University of New England,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/University%20of%20New%20England.jpg,DIII,NA,NA
Ursinus,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Ursinus.jpg,DIII,#000000,#ffffff
Utica,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Utica.jpg,DIII,#000000,#ffffff
UW-Eau Claire,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Eau%20Claire.jpg,DIII,NA,NA
UW-La Crosse,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-La%20Crosse.jpg,DIII,NA,NA
UW-Oshkosh,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Oshkosh.jpg,DIII,#000000,#ffffff
UW-Platteville,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Platteville.jpg,DIII,NA,NA
UW-River Falls,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-River%20Falls.jpg,DIII,#000000,#ffffff
UW-Stevens Point,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Stevens%20Point.jpg,DIII,NA,NA
UW-Stout,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Stout.jpg,DIII,#000000,#ffffff
UW-Whitewater,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Whitewater.jpg,DIII,#000000,#ffffff
Wabash,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wabash.jpg,DIII,NA,NA
Wartburg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wartburg.jpg,DIII,#000000,#ffffff
Washington and Jefferson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Washington%20and%20Jefferson.jpg,DIII,NA,NA
Washington and Lee,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Washington%20and%20Lee.jpg,DIII,NA,NA
Washington U.,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Washington%20U..jpg,DIII,NA,NA
Waynesburg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Waynesburg.jpg,DIII,#000000,#ffffff
Wesley,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wesley.jpg,DIII,#ffffff,#ffffff
Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wesleyan.jpg,DIII,#000000,#ffffff
Western Connecticut,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Western%20Connecticut.jpg,DIII,NA,NA
Western New England,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Western%20New%20England.jpg,DIII,#000000,#ffffff
Westfield State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Westfield%20State.jpg,DIII,#000000,#ffffff
Westminster (Mo.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Westminster%20(Mo.).jpg,DIII,NA,NA
Westminster (Pa.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Westminster%20(Pa.).jpg,DIII,NA,NA
Wheaton (Ill.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wheaton%20(Ill.).jpg,DIII,NA,NA
Whittier,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Whittier.jpg,DIII,#000000,#ffffff
Whitworth,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Whitworth.jpg,DIII,#000000,#ffffff
Widener,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Widener.jpg,DIII,#000000,#ffffff
Wilkes,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wilkes.jpg,DIII,#000000,#ffffff
Willamette,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Willamette.jpg,DIII,#000000,#ffffff
William Paterson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/William%20Paterson.jpg,DIII,#000000,#ffffff
Williams,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Williams.jpg,DIII,#000000,#ffffff
Wilmington,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wilmington.jpg,DIII,#ffffff,#ffffff
Wisconsin Lutheran,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wisconsin%20Lutheran.jpg,DIII,#000000,#ffffff
