school,logo,type,color,alt_color
Central Connecticut,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,FCS,#1B49A2,#d1d5d8
Central Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/2120.png,Other,#000000,#ffffff
Charleston Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,FCS,#2e3192,#ded090
Chattanooga,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png,FCS,#00386b,#dca71d
Claremont,http://a.espncdn.com/i/teamlogos/ncaa/500/17.png,Other,#000000,#ffffff
Clarion,http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png,Other,#000000,#ffffff
Colby,http://a.espncdn.com/i/teamlogos/ncaa/500/33.png,Other,#000000,#ffffff
Colgate,http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,FCS,#8B011D,#231f20
Colorado College,http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png,Other,#000000,#ffffff
Columbia,http://a.espncdn.com/i/teamlogos/ncaa/500/171.png,FCS,#174785,#004b85
Concord,http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png,Other,#000000,#ffffff
Cornell,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png,FCS,#d60027,#101010
Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/512.png,Other,#000000,#ffffff
Dartmouth,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png,FCS,#005730,#000000
Davidson,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,FCS,#000000,#e51837
Dayton,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,FCS,#004B8D,#ffffff
Delaware,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,FCS,#033594,#e8ce31
Delaware State,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,FCS,#FF3630,#009cdd
Delta State,http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png,Other,#000000,#ffffff
Drake,http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,FCS,#004477,#c0c0c0
Duquesne,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,FCS,#002D62,#b90b2e
Eastern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,FCS,#000000,#bebab9
Eastern Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png,FCS,#660819,#f0f0f0
Eastern Washington,http://a.espncdn.com/i/teamlogos/ncaa/500/331.png,FCS,#a10022,#abb4bc
East Stroudsburg,http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png,Other,#000000,#ffffff
East Tennessee State,http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,FCS,#002d61,#ffc423
Edinboro,http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png,Other,#000000,#ffffff
Elon,http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,FCS,#020303,#b59a57
Ferris State,http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png,Other,#000000,#ffffff
Florida A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png,FCS,#F89728,#00843d
Florida Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/53.png,Other,#000000,#ffffff
Fordham,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,FCS,#830032,#909090
Furman,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png,FCS,#4A2184,#909090
Gannon,http://a.espncdn.com/i/teamlogos/ncaa/500/367.png,Other,#000000,#ffffff
Gardner-Webb,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,FCS,#c12535,#909090
George Mason,http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,Other,#016600,#ecb010
Georgetown,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png,FCS,#110E42,#001c58
Graceland University,http://a.espncdn.com/i/teamlogos/ncaa/500/530.png,Other,#000000,#ffffff
Grambling,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,FCS,#ee8601,#ffd10a
Grand Valley State,http://a.espncdn.com/i/teamlogos/ncaa/500/125.png,Other,#000000,#ffffff
Hampton,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,FCS,#0067AC,#ffffff
Harding,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png,Other,#000000,#ffffff
Harvard,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png,FCS,#990000,#dbdbdb
Henderson State,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png,Other,#000000,#ffffff
Holy Cross,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png,FCS,#0a0a0a,#080808
Houston Baptist,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,FCS,#00539c,#ffffff
Howard,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png,FCS,#9e0b0e,#6b818d
Idaho,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,FCS,#000000,#8c6e4a
Idaho State,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png,FCS,#ef8c00,#e9a126
Illinois State,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,FCS,#CE1126,#ffe716
Incarnate Word,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,FCS,#000000,#080808
Indiana (PA),http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png,Other,#000000,#ffffff
Indiana State,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,FCS,#00669a,#f0f0f0
Jackson State,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,FCS,#123297,#b5b7ba
Jacksonville,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png,Other,#00523e,#ffffff
Jacksonville State,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,FCS,#b50500,#b5b7ba
James Madison,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,FCS,#450084,#cbb778
Kennesaw State,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,FCS,#000000,#fdbb30
Kentucky State,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png,Other,#000000,#ffffff
Kutztown,http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png,Other,#000000,#ffffff
Lafayette,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png,FCS,#790000,#a59474
Lamar,http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,FCS,#000000,#ebebeb
Lehigh,http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,FCS,#6c2b2a,#b69e70
Lenoir-Rhyne,http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png,Other,#000000,#ffffff
Lock Haven,http://a.espncdn.com/i/teamlogos/ncaa/500/209.png,Other,#000000,#ffffff
Maine,http://a.espncdn.com/i/teamlogos/ncaa/500/311.png,FCS,#127dbe,#ffffff
Marist,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,FCS,#e53730,#f0f0f0
Mars Hill,http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png,Other,#000000,#ffffff
McNeese,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,FCS,#00529C,#ffffff
Mercer,http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,FCS,#ff7f29,#080808
Mercyhurst,http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png,Other,#000000,#ffffff
Merrimack,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,FCS,#000000,#ffffff
Michigan Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png,Other,#000000,#ffffff
Millersville,http://a.espncdn.com/i/teamlogos/ncaa/500/210.png,Other,#000000,#ffffff
Minnesota-Duluth,http://a.espncdn.com/i/teamlogos/ncaa/500/134.png,Other,#000000,#ffffff
Minnesota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png,Other,#000000,#ffffff
Minnesota St-Moorhead,http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png,Other,#000000,#ffffff
Mississippi Valley State,http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,FCS,#005328,#cf2d34
Missouri Baptist,http://a.espncdn.com/i/teamlogos/ncaa/500/2880.png,Other,#ffffff,#ffffff
Missouri State,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,FCS,#5F0000,#e8e8e8
Montana,http://a.espncdn.com/i/teamlogos/ncaa/500/149.png,FCS,#751D4A,#666666
Montana State,http://a.espncdn.com/i/teamlogos/ncaa/500/147.png,FCS,#003875,#bf965c
Montana-Western,http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png,Other,#000000,#ffffff
Morehead State,http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,FCS,#094FA3,#fed91a
Morehouse,http://a.espncdn.com/i/teamlogos/ncaa/500/60.png,Other,#000000,#ffffff
Morgan State,http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,FCS,#014786,#f47937
Murray State,http://a.espncdn.com/i/teamlogos/ncaa/500/93.png,FCS,#002148,#000e00
Nebraska-Omaha,http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,Other,#e3193e,#ffffff
New Hampshire,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png,FCS,#004990,#c3c4c6
New Haven,http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png,Other,#000000,#ffffff
New Mexico Highlands,http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png,Other,#000000,#ffffff
Nicholls,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,FCS,#C41230,#f0f0f0
Norfolk State,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,FCS,#046546,#ffffff
North Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,FCS,#000000,#ffffff
North Carolina A&T,http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,FCS,#0505aa,#004684
North Carolina Central,http://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,FCS,#880023,#c2c3c0
North Dakota,http://a.espncdn.com/i/teamlogos/ncaa/500/155.png,FCS,#00A26B,#c2c3c0
North Dakota State,http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,FCS,#01402A,#ffffff
Northern Arizona,http://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,FCS,#003976,#1b3069
Northern Colorado,http://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,FCS,#13558D,#ffc533
Northern Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,FCS,#473282,#ffffff
