school,logo,type,color,alt_color,wordmark,Order
Northern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,G5,#F1122C,#cc0000,5142_northern_illinois_huskies-wordmark-2001.png ,73
North Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,G5,#00853D,#000000,north_texas_mean_green_logo_wordmark_20051155.png,74
Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,P5,#372286,#d6cac1,6442_northwestern_wildcats-wordmark-1981.png,75
Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,P5,#00122b,#ae9142,notre_dame_fighting_irish_logo_wordmark_2015_sportslogosnet-5359.png,76
Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,G5,#295A29,#e4bb85,4346_ohio_bobcats-wordmark-1996.png ,77
Ohio State,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,P5,#DE3121,#666666,2586_ohio_state_buckeyes-wordmark-2013.png,78
Oklahoma,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,P5,#7b0000,#cccccc,oklahoma_sooners_logo_wordmark_2008_sportslogosnet-1138.png,79
Oklahoma State,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,P5,#FF6500,#ff9900,9181_oklahoma_state_cowboys-wordmark-2001.png,80
Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,G5,#00507d,#a1d2f1,old_dominion_monarchs_logo_wordmark_20027264.png,81
Ole Miss,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,P5,#001148,#00205b,mississippi_rebels_logo_wordmark_20206855.png,82
Oregon,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,P5,#044520,#fee123,oregon_ducks_wordmark.png,83
Oregon State,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,P5,#c34500,#dea076,oregon_state_beavers_logo_wordmark_20133449.png,84
Penn State,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,P5,#00265D,#002e5c,penn_state_nittany_lions_logo_wordmark_19968994.png,85
Pittsburgh,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,P5,#003263,#231f20,9267_pittsburgh_panthers-wordmark-1997.png,86
Purdue,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,P5,#B89D29,#a4a9ad,purdue_boilermakers_logo_wordmark_20121876.png,87
Rice,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,G5,#003D7D,#d1d5d8,2538_rice_owls-wordmark-2017.png ,88
Rutgers,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,P5,#d21034,#ffffff,rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png,89
San Diego State,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,G5,#BF2C37,#a8996e,san_diego_state_aztecs_logo_wordmark_20135405.png,90
San José State,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,G5,#005893,#fdba31,san_jose_state_spartans_logo_secondary_2018_sportslogosnet-7284.png,91
SMU,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,G5,#E32F38,#ecdcb9,smu_mustangs_logo_wordmark_2021_sportslogosnet-3447.png,92
South Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,G5,#003E7E,#ffffff,9070_south_alabama_jaguars-wordmark-2008.png,93
South Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,P5,#670010,#000000,south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png,94
Southern Mississippi,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,G5,#FFAA3C,#ffc423,3959_southern_miss_golden_eagles-wordmark-2003.png,95
South Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,G5,#004A36,#231f20,south_florida_bulls_logo_secondary_2011_sportslogosnet-7610.png ,96
Stanford,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,P5,#A80532,#ffffff,stanford_cardinal_logo_wordmark_2015_sportslogosnet-4752.png,97
Syracuse,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,P5,#F37321,#0d1d37,syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png,98
TCU,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,P5,#3C377D,#f1f2f3,tcu_horned_frogs_logo_wordmark_2013_sportslogosnet-8595.png ,99
Temple,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,G5,#A80532,#a7a9ac,temple_owls_logo_wordmark_2020_sportslogosnet-1905.png,100
Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,P5,#EE9627,#ffffff,tennessee_volunteers_logo_wordmark_20052034.png,101
Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,P5,#EE7524,#f0f0f0,texas_longhorns_logo_wordmark_2000_sportslogosnet-1899.png,102
Texas A&M,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,P5,#5C0025,#ffffff,2346_texas_a&m_aggies-wordmark-2001.png ,103
Texas State,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,G5,#4e1719,#b4975a,texas_state_bobcats_logo_secondary_20082403.png,104
Texas Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,P5,#C80025,#231f20,6911_texas_tech_red_raiders-wordmark-2000.png ,105
Toledo,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,G5,#00488F,#ffd51d,toledo_rockets_logo_primary_2019_sportslogosnet-7348.png,106
Troy,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,G5,#AE0210,#88898c,troy_trojans_logo_wordmark_2016_sportslogosnet-8357.png ,107
Tulane,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,G5,#005837,#3baf29,6263_tulane_green_wave-wordmark-2014.png ,108
Tulsa,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,G5,#004371,#ee3b33,tulsa_golden_hurricane_logo_wordmark_2021_sportslogosnet-4838.png,109
UAB,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,G5,#003b28,#ffc845,uab_blazers_logo_wordmark_2015_sportslogosnet-3373.png,110
UCF,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,G5,#000000,#231f20,central_florida_knights_logo_wordmark_20076509.png,111
UCLA,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,P5,#005C8E,#ffc72c,ucla_bruins_logo_wordmark_2017_sportslogosnet-6926.png,112
UMass,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,G5,#880007,#ffffff,massachusetts_minutemen_logo_wordmark_2021_sportslogosnet-5692.png,113
UNLV,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,G5,#000000,#c2c4c6,unlv_rebels_logo_secondary_2017_sportslogosnet-7738.png,114
USC,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,P5,#AE2531,#ffc72c,southern_california_trojans_logo_wordmark_20162572.png,115
Utah,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,P5,#890012,#7e8083,4760_utah_utes-wordmark-2015.png ,116
Utah State,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,G5,#003263,#949ca1,utah_state_aggies_logo_wordmark_20149097.png ,117
UTEP,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,G5,#002843,#ff6f12,2713_utep-wordmark.png,118
UT San Antonio,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,G5,#002A5C,#f47321,6427_texas-sa_roadrunners-wordmark-2007.png,119
