franchise_id,team,current_team,current_mascott,division,conference,FBS,color,alt_color,logo,class,team_name
218,TNMS,Memphis,Tigers,West,AAC,1,#002447,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,Group of 5,MEMPHIS
220,FLMI,Miami,Hurricanes,Coastal,ACC,1,#004325,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,Power 5,MIAMI FL
221,OHMI,Miami (OH),RedHawks,East,MAC,1,#a4000c,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,Group of 5,MIAMI OH
222,MIUN,Michigan,Wolverines,East,Big Ten,1,#00274c,#ffcb05,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Power 5,MICHIGAN
223,MIST,Michigan State,Spartans,East,Big Ten,1,#18453B,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Power 5,MICH STATE
224,TNMI,Middle Tennessee,Blue Raiders,East,Conference USA,1,#0079C2,#c3c5c8,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,Group of 5,MIDDLE TN
225,MNUN,Minnesota,Golden Gophers,West,Big Ten,1,#7F011B,#7a0019,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,Power 5,MINNESOTA
226,MSUN,Ole Miss,Rebels,West,SEC,1,#001148,#00205b,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,Power 5,OLE MISS
227,MSST,Mississippi State,Bulldogs,West,SEC,1,#762123,#c8c8c8,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,Power 5,MISS STATE
229,MOUN,Missouri,Tigers,East,SEC,1,#000000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,Power 5,MISSOURI
237,MDNA,Navy,Midshipmen,West,AAC,1,#131630,#b6a77c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,Group of 5,"NAVY"
238,NEUN,Nebraska,Cornhuskers,West,Big Ten,1,#F20017,#f5f1e7,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Power 5,NEBRASKA
239,NVRE,Nevada,Wolf Pack,West,MWC,1,#153E5F,#8e9295,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,Group of 5,NEVADA
